Step,Value
29250,-265.8606520114612
29300,-260.42798200537374
29350,-289.8662179687524
29400,-353.6013014384737
29450,-367.7682598303667
29500,-282.95887791655304
29550,-289.59912067828066
29600,-237.85551464883935
29650,-254.08135089103308
29700,-286.2656999667742
29750,-243.84608832138483
29800,-347.55099747626736
29850,-263.8156393621973
29900,-245.47116608996282
29950,-243.12316142332185
30000,-349.96277724409833
30050,-292.0019815581918
30100,-347.0680553015642
30150,-275.39271966645714
30200,-272.05608206176055
30250,-320.4076544002611
30300,-262.7036795788455
30350,-257.91652611889185
30400,-295.6059427685553
30450,-275.52163966565973
30500,-276.8118113931453
30550,-275.3332550398877
30600,-339.3348699347001
30650,-301.2741735468042
30700,-362.2391683065908
30750,-301.60101687972855
30800,-280.75952253429847
30850,-314.82236868573887
30900,-256.8780083483227
30950,-315.43444900286113
31000,-296.9496882078137
31050,-263.4578443060918
31100,-298.00813154200046
31150,-303.5715207941511
31200,-233.09868362444777
31250,-263.2609073250804
31300,-352.0277294180212
31350,-315.1372996851789
31400,-321.03155120079214
31450,-292.8686145921833
31500,-272.8780121292
31550,-255.6422762394619
31600,-263.8406346176774
31650,-298.9257410676647
31700,-271.81375722363606
31750,-257.2753914657042
31800,-351.4398872251561
31850,-270.68256835445453
31900,-323.7880334201361
31950,-297.51056450178834
32000,-276.99597671957565
32050,-253.5565532101753
32100,-365.8249295794677
32150,-262.77926524798056
32200,-332.8811741051873
32250,-235.1236785053479
32300,-312.4371621659106
32350,-262.86202466944417
32400,-293.2193253682583
32450,-331.981874395295
32500,-263.99219906279177
32550,-293.44197723402306
32600,-282.23154706451663
32650,-242.0940955953905
32700,-254.551995970621
32750,-289.2470928694548
32800,-282.2224858525835
32850,-282.14419983168364
32900,-298.506407834548
32950,-299.26938723070293
33000,-337.0782360817183
33050,-279.9374978485973
33100,-340.5844441219461
33150,-282.10517520299004
33200,-290.1327307497472
33250,-318.85427788894685
33300,-330.24673508683753
33350,-285.7600237895623
33400,-250.41745770935458
33450,-278.63256347561463
33500,-307.3987687367917
33550,-324.45631519626613
33600,-298.72978473260736
33650,-275.6737367820659
33700,-288.796943077695
33750,-217.48320052328526
33800,-343.15005747534065
33850,-264.00674478080833
33900,-296.9977904128008
33950,-283.7379731596195
34000,-347.1507824817859
34050,-271.8315964275979
34100,-287.5532163639881
34150,-311.8910814625112
34200,-317.96445530212657
34250,-324.80764315944015
34300,-263.9641527159793
34350,-269.3135933638093
34400,-253.52424359697318
34450,-358.2934119221873
34500,-318.6245822690332
34550,-263.64690574942443
34600,-270.33970192124184
34650,-265.6541405011356
34700,-266.46931203242724
34750,-331.39893506182955
34800,-287.03234117746894
34850,-286.64774782306245
34900,-356.3398850316283
34950,-256.61420078876085
35000,-295.614404129672
35050,-331.34680336642
35100,-253.85304457826408
35150,-260.98337249384787
35200,-323.0944477757868
35250,-256.11100140448093
35300,-272.2688000665688
35350,-320.5052879955137
35400,-279.93211142403004
35450,-316.8139833162359
35500,-255.65776180784258
35550,-387.83789317225035
35600,-271.115078943868
35650,-276.73234085842995
35700,-283.0748123634445
35750,-356.49632240856533
35800,-270.7330422233069
35850,-285.07922190449693
35900,-328.46473325370084
35950,-288.0046040702942
36000,-277.8821941017845
36050,-309.67962937805726
36100,-283.9004289935025
36150,-284.61487336064243
36200,-321.85150143055273
36250,-282.76403547525763
36300,-263.51561486111405
36350,-324.5904753743643
36400,-315.8880961992308
36450,-327.01512847151463
36500,-232.39229858982154
36550,-300.3652009112195
36600,-339.86752486171235
36650,-346.1854226166623
36700,-283.38700117440897
36750,-370.62483997383026
36800,-326.7366418365475
36850,-303.84151599067985
36900,-273.33383709887283
36950,-258.48414260353985
